TEAM,CONF,W-L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Georgia Bulldogs,SEC,0-0,26.8,1,--,10.3-2.1,10.8,99.4,0,32.8,79.1,31.6,21
Oregon Ducks,Big Ten,0-0,24.5,2,--,10.8-1.8,15.7,99.7,0,37.5,76,24.4,12.8
Texas Longhorns,SEC,0-0,22.9,3,--,10.0-2.4,6.8,99.1,0,24.2,67.8,20.6,11.4
Ohio State Buckeyes,Big Ten,0-0,22.2,4,--,10.2-2.2,7.5,99.5,0,25.7,67.2,19,10.5
Alabama Crimson Tide,SEC,0-0,21.9,5,--,9.3-3.0,3.4,97.2,0,14.4,57.2,15.3,8.5
Penn State Nittany Lions,Big Ten,0-0,19.8,6,--,10.1-2.3,7.1,99.1,0,22.2,59.1,13.3,6.6
Notre Dame Fighting Irish,FBS Indep.,0-0,19,7,--,10.1-1.9,15.8,99.4,0,0,59.1,10,4.8
Oklahoma Sooners,SEC,0-0,17.2,8,--,8.2-3.9,0.8,92.4,0,5.1,36.6,6,2.8
Tennessee Volunteers,SEC,0-0,16.6,9,--,8.6-3.5,0.9,95.4,0,5.5,36.9,6,2.7
Missouri Tigers,SEC,0-0,15.4,10,--,9.0-3.2,1.3,96.8,0,5.9,37.3,5.4,2.2
Florida State Seminoles,ACC,0-0,15.1,11,--,8.8-3.6,2.3,93.2,0,26.2,35.9,6.1,2.5
Michigan Wolverines,Big Ten,0-0,14.9,12,--,8.3-3.9,0.7,92.4,0,7.3,28.5,4,1.7
LSU Tigers,SEC,0-0,14.6,13,--,7.9-4.2,0.6,86.9,0,4.4,25.3,3.4,1.3
Texas A&M Aggies,SEC,0-0,13.6,14,--,7.6-4.5,0.4,84.6,0,3.2,21,2.5,1
Clemson Tigers,ACC,0-0,12.2,15,--,8.5-3.8,1,92.7,0,19.3,26.9,3.6,1.4
Ole Miss Rebels,SEC,0-0,12,16,--,7.9-4.2,0.3,90,0,2.3,20.7,2.2,0.8
Kansas Jayhawks,Big 12,0-0,11.2,17,--,8.7-3.6,2.6,91.8,0,17.4,24,2.7,0.9
USC Trojans,Big Ten,0-0,11.1,18,--,7.1-5.1,0.1,76.7,0,2.9,13.4,1.1,0.3
Auburn Tigers,SEC,0-0,10.1,19,--,7.2-4.9,0.1,83.4,0,0.8,13.5,1.2,0.4
Florida Gators,SEC,0-0,10.1,20,--,5.9-6.1,0,58.2,0,0.7,8.3,0.7,0.3
Louisville Cardinals,ACC,0-0,10,21,--,7.9-4.3,0.7,87.6,0,12,18.3,1.7,0.6
Kansas State Wildcats,Big 12,0-0,10,22,--,8.4-3.9,1.9,90.1,0,16,21.4,2.1,0.7
Miami Hurricanes,ACC,0-0,9.6,23,--,8.2-4.0,1.1,90.4,0,9.9,18.2,1.9,0.6
Arizona Wildcats,Big 12,0-0,9.2,24,--,7.9-4.3,1,86.4,0,11.5,16,1.4,0.3
SMU Mustangs,ACC,0-0,9,25,--,8.3-3.9,1.3,90.4,0,9,16.6,1.5,0.5
Oklahoma State Cowboys,Big 12,0-0,7.6,26,--,7.6-4.6,0.7,82.9,0,8.5,12.6,1.1,0.4
Utah Utes,Big 12,0-0,7.5,27,--,7.8-4.4,0.8,85.4,0,8.2,12.5,0.8,0.2
NC State Wolfpack,ACC,0-0,7.5,28,--,8.1-4.1,0.7,90.6,0,7.5,13.9,1,0.3
Texas Tech Red Raiders,Big 12,0-0,7.1,29,--,7.6-4.5,0.7,83.9,0,7.6,11.5,0.9,0.3
TCU Horned Frogs,Big 12,0-0,7.1,30,--,7.0-5.1,0.3,75.4,0,7.9,9.9,0.8,0.2
Washington Huskies,Big Ten,0-0,6.7,31,--,6.4-5.6,0,68.9,0,0.5,6,0.3,0.1
UCF Knights,Big 12,0-0,6.2,32,--,7.4-4.7,0.4,81.9,0,7,9.6,0.6,0.2
South Carolina Gamecocks,SEC,0-0,6.2,33,--,6.0-6.0,0,61.2,0,0.4,4.4,0.2,0.1
Kentucky Wildcats,SEC,0-0,6.2,34,--,6.0-6.0,0,61.4,0,0.2,4.8,0.3,0.1
West Virginia Mountaineers,Big 12,0-0,6,35,--,6.3-5.8,0.1,64.1,0,5,6.4,0.4,0.1
Colorado Buffaloes,Big 12,0-0,6,36,--,6.3-5.8,0.1,63.2,0,4.1,5.8,0.3,0.1
Iowa Hawkeyes,Big Ten,0-0,5.6,37,--,7.0-5.0,0.1,77,0,0.9,7.4,0.3,0.1
Oregon State Beavers,Pac-12,0-0,5.3,38,--,7.9-4.1,0.9,88.5,0,0,9.8,0.3,0.1
Wisconsin Badgers,Big Ten,0-0,5,39,--,5.8-6.2,0,57.4,0,0.5,3.1,0.1,0.1
UCLA Bruins,Big Ten,0-0,4.9,40,--,5.5-6.5,0,50.9,0,0.3,2.8,0.1,0
Nebraska Cornhuskers,Big Ten,0-0,4.8,41,--,6.5-5.5,0.1,69.3,0,0.6,4.9,0.2,0
North Carolina Tar Heels,ACC,0-0,4.7,42,--,7.5-4.6,0.4,83.8,0,4.3,8,0.4,0.1
California Golden Bears,ACC,0-0,4.7,43,--,6.6-5.5,0.1,71.1,0,2.6,5.2,0.3,0.1
Arkansas Razorbacks,SEC,0-0,4.6,44,--,5.5-6.5,0,48.4,0,0.1,2.6,0.1,0
Rutgers Scarlet Knights,Big Ten,0-0,4.1,45,--,7.2-4.8,0.1,80.4,0,1,5.6,0.2,0.1
Maryland Terrapins,Big Ten,0-0,4.1,46,--,6.6-5.4,0,71.7,0,0.4,4.8,0.2,0
Iowa State Cyclones,Big 12,0-0,3.8,47,--,6.6-5.5,0.1,69.6,0,3.2,4.7,0.2,0
Boise State Broncos,Mountain West,0-0,3.7,48,--,8.2-4.3,0.5,87.8,0,36.2,16.4,0.5,0.1
Mississippi State Bulldogs,SEC,0-0,3.5,49,--,5.1-6.9,0,40,0,0,1.7,0.1,0
Virginia Tech Hokies,ACC,0-0,3,50,--,6.6-5.5,0.2,69.1,0,2.5,4.3,0.2,0.1
James Madison Dukes,Sun Belt,0-0,2.6,51,--,8.5-3.5,3.9,92,0,0,0,0,0
Duke Blue Devils,ACC,0-0,2.3,52,--,6.1-6.0,0.1,60.3,0,1.4,2.7,0.1,0
Pittsburgh Panthers,ACC,0-0,2.2,53,--,6.4-5.7,0.1,66,0,1.5,3.1,0.1,0
Georgia Tech Yellow Jackets,ACC,0-0,2.1,54,--,4.9-7.2,0,36.8,0,1,1.5,0.1,0
Baylor Bears,Big 12,0-0,1.9,55,--,5.8-6.2,0,55.6,0,1.6,2.3,0.1,0
UTSA Roadrunners,American,0-0,1.6,56,--,8.6-3.9,0.6,93.2,0,31.3,15.6,0.5,0.1
Northwestern Wildcats,Big Ten,0-0,1.3,57,--,5.5-6.5,0,49.8,0,0.1,1.4,0,0
Boston College Eagles,ACC,0-0,1,58,--,5.6-6.4,0,51.9,0,0.9,1.5,0.1,0
Stanford Cardinal,ACC,0-0,0.7,59,--,5.2-6.9,0,42.7,0,0.6,1,0.1,0
Purdue Boilermakers,Big Ten,0-0,0.5,60,--,4.5-7.5,0,30,0,0.1,0.7,0,0
Minnesota Golden Gophers,Big Ten,0-0,0.4,61,--,5.3-6.7,0,44.4,0,0.1,1,0,0
Illinois Fighting Illini,Big Ten,0-0,0.2,62,--,5.3-6.7,0,44.7,0,0.1,1,0,0
Arizona State Sun Devils,Big 12,0-0,-0.3,63,--,4.7-7.3,0,35.7,0,0.6,0.8,0.1,0
Washington State Cougars,Pac-12,0-0,-0.5,64,--,7.1-4.9,0.4,78.7,0,0,3.2,0,0
Cincinnati Bearcats,Big 12,0-0,-0.8,65,--,5.2-6.8,0,43.7,0,0.6,0.9,0,0
Memphis Tigers,American,0-0,-0.8,66,--,7.8-4.6,0.4,85.6,0,17.4,7.9,0.2,0
Appalachian State Mountaineers,Sun Belt,0-0,-0.9,67,--,7.6-4.8,0.4,81.2,37,22,7,0.1,0
Michigan State Spartans,Big Ten,0-0,-1,68,--,4.8-7.2,0,36.4,0,0,0.6,0,0
Tulane Green Wave,American,0-0,-1.1,69,--,7.3-5.0,0.2,79.3,0,17.7,6.2,0.1,0
Syracuse Orange,ACC,0-0,-1.2,70,--,5.8-6.2,0,56.1,0,0.6,1,0,0
Wake Forest Demon Deacons,ACC,0-0,-1.3,71,--,5.3-6.8,0,44.9,0,0.4,0.8,0,0
Virginia Cavaliers,ACC,0-0,-1.4,72,--,4.6-7.4,0,32.9,0,0.4,0.5,0,0
BYU Cougars,Big 12,0-0,-1.5,73,--,4.8-7.2,0,35.4,0,0.5,0.6,0,0
Fresno State Bulldogs,Mountain West,0-0,-1.6,74,--,7.4-4.9,0.2,81.1,0,18.1,5.9,0.1,0
Troy Trojans,Sun Belt,0-0,-2,75,--,7.5-4.8,0.5,80.9,27.8,15.1,5.1,0.1,0
Vanderbilt Commodores,SEC,0-0,-2.2,76,--,4.0-8.0,0,17.8,0,0,0.2,0,0
Indiana Hoosiers,Big Ten,0-0,-2.4,77,--,5.3-6.7,0,44.9,0,0,0.5,0,0
Houston Cougars,Big 12,0-0,-2.7,78,--,4.0-8.0,0,22.3,0,0.3,0.3,0,0
Liberty Flames,CUSA,0-0,-3,79,--,8.7-3.9,2.6,89.7,0,41.5,9.6,0.1,0
San Diego State Aztecs,Mountain West,0-0,-3.4,80,--,6.6-5.6,0.2,68,0,8.9,2.5,0,0
San José State Spartans,Mountain West,0-0,-3.8,81,--,6.4-5.8,0.2,65.8,0,8.7,2.3,0,0
Texas State Bobcats,Sun Belt,0-0,-4.7,82,--,7.1-5.1,0.4,75.4,18.9,9.3,3.2,0,0
Florida Atlantic Owls,American,0-0,-4.8,83,--,7.4-4.8,0.4,80.4,0,7.5,3.4,0.1,0
South Alabama Jaguars,Sun Belt,0-0,-4.9,84,--,6.5-5.7,0.1,66.4,15.3,7.7,2.1,0,0
Marshall Thundering Herd,Sun Belt,0-0,-5.3,85,--,6.0-6.1,0,59.8,17.7,8.3,2,0,0
UNLV Rebels,Mountain West,0-0,-5.4,86,--,5.7-6.4,0,52.5,0,6.3,1.3,0,0
Air Force Falcons,Mountain West,0-0,-5.5,87,--,6.8-5.4,0.2,71.8,0,7.1,2.2,0,0
South Florida Bulls,American,0-0,-5.5,88,--,5.9-6.2,0,56.8,0,5.4,1.7,0,0
Georgia State Panthers,Sun Belt,0-0,-5.5,89,--,6.3-5.8,0.1,63.9,15.1,7.2,1.7,0,0
Miami (OH) RedHawks,MAC,0-0,-5.6,90,--,6.9-5.5,0.1,72.7,0,20.2,3,0.1,0
Coastal Carolina Chanticleers,Sun Belt,0-0,-6.1,91,--,6.4-5.7,0.1,66.2,13.8,6.6,1.7,0,0
Louisiana Ragin' Cajuns,Sun Belt,0-0,-6.1,92,--,6.3-5.8,0.2,63.6,12.7,6.1,1.6,0,0
Jacksonville State Gamecocks,CUSA,0-0,-6.3,93,--,6.8-5.2,0.3,73.7,0,0,0,0,0
East Carolina Pirates,American,0-0,-6.4,94,--,6.8-5.3,0.2,72.9,0,5.9,2.1,0,0
Rice Owls,American,0-0,-6.6,95,--,6.6-5.5,0.1,70.3,0,3.5,1.3,0,0
Georgia Southern Eagles,Sun Belt,0-0,-6.7,96,--,5.3-6.8,0,46,10.6,5,0.9,0,0
Arkansas State Red Wolves,Sun Belt,0-0,-6.7,97,--,5.9-6.3,0,57.1,15.1,6.6,1.2,0,0
UAB Blazers,American,0-0,-7,98,--,6.5-5.6,0.1,67.1,0,3.7,1.4,0,0
Toledo Rockets,MAC,0-0,-7,100,--,7.4-4.9,0.4,79.1,0,16.8,3,0,0
Wyoming Cowboys,Mountain West,0-0,-7,99,--,5.5-6.6,0,48.8,0,3.8,0.7,0,0
Tulsa Golden Hurricane,American,0-0,-7.1,101,--,6.2-5.9,0.1,61.5,0,3.5,1.2,0,0
Utah State Aggies,Mountain West,0-0,-7.5,102,--,5.7-6.5,0,53.2,0,3.9,0.6,0,0
Bowling Green Falcons,MAC,0-0,-7.6,103,--,6.5-5.7,0,68.3,0,13.8,2,0,0
Southern Miss Golden Eagles,Sun Belt,0-0,-8,104,--,5.5-6.6,0,49.4,8.8,3.6,0.6,0,0
Colorado State Rams,Mountain West,0-0,-8.4,105,--,5.3-6.8,0,44.9,0,3.2,0.5,0,0
North Texas Mean Green,American,0-0,-8.4,106,--,5.6-6.5,0,51.4,0,1.7,0.4,0,0
